,Brand,Resolution,Size,Selling Price,Original Price,Operating System,Rating
1,TCL ,QLED Ultra HD,55,52999,129990,Android,4.4
2,REALME ,HD LED,32,13999,17999,Android,4.3
3,MI ,HD LED,32,14999,19999,Android,4.4
4,REALME ,HD LED,32,12999,21999,Android,4.3
5,ONEPLUS,HD LED,32,15999,19999,Android,4.3
6,ONEPLUS,Full HD LED,43,25999,29999,Android,4.3
7,TCL ,144Hz,65,57999,119990,Android,4.2
8,MI ,Full HD LED,40,21999,29999,Android,4.3
9,REALME ,144Hz,43,26999,32999,Android,4.3
10,MI ,144Hz,43,27999,34999,Android,4.3
11,HISENSE,144Hz,55,36999,49990,Android,4.4
12,MI ,144Hz,50,35999,41999,Android,4.3
13,MI ,HD LED,32,15499,19999,Android,4.3
14,MI ,HD LED,32,14999,19999,Android,4.3
15,HISENSE,144Hz,70,89999,119990,Android,4.4
16,LG ,HD LED,32,17499,21990,Linux,4.4
17,MI ,Full HD LED,43,25999,31999,Android,4.3
18,MI ,144Hz,55,45999,69999,Android,4.2
19,TOSHIBA,144Hz,43,27999,39990,VIDAA,4.3
20,MARQ BY FLIPKART,HD LED,32,9999,19999,,4.3
21,MI ,144Hz,43,31999,49999,Android,4.2
22,IFFALCON BY TCL,144Hz,55,32999,70990,Android,4.3
23,TCL ,144Hz,50,33999,62990,Android,4.4
24,ONEPLUS,Full HD LED,40,22499,27999,Android,4.3
25,COOCAA ,HD LED,32,10999,36990,Android,4.2
26,TOSHIBA,HD LED,32,12499,14990,VIDAA,4.4
27,MI ,Full HD LED,43,24999,34999,Android,4.3
28,SAMSUNG,144Hz,43,38990,54900,Tizen,4.3
29,MI ,144Hz,55,42999,49999,Android,4.3
30,LG ,Full HD LED,43,33490,40990,WebOS,4.4
31,INFINIX,Full HD LED,43,20499,24999,Android,4.2
32,MI ,144Hz,50,41999,59999,Android,4.2
33,INFINIX,HD LED,32,11999,17999,Android,4.2
34,LG ,144Hz,55,52999,79990,WebOS,4.4
